address,year,day,length,weight,count,looped,neighbors,income,label
12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,162,0,0.5,1,0,2,120000000,montrealCryptXXX
12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,161,4,0.125,1,0,2,120000000,montrealCryptXXX
12CxqYzqvkuPL4V6DepUEQ2v4rzfXWaShp,2016,207,50,7.63E-06,2,0,2,120000000,montrealCryptXXX
12dATMMt4raubJ9MJSpNMwHQWZFFggemCC,2016,198,36,0.000488281,1,0,2,120000000,montrealCryptXXX
12dATMMt4raubJ9MJSpNMwHQWZFFggemCC,2016,202,0,0.125,1,0,2,120000000,montrealCryptXXX
12DcPs8ebvSUnAHk8HeXLPcSAATvYhvV2A,2016,141,26,0.000244141,1,0,2,120000000,montrealCryptXXX
12efPCBfCeMGzT7mBTRNmiH5pn8WpPt9xP,2016,149,6,0.666710069,5,0,2,120000000,montrealCryptXXX
12efPCBfCeMGzT7mBTRNmiH5pn8WpPt9xP,2016,159,2,0.4,2,0,2,120000000,montrealCryptXXX
12fdWY163qacdZZ46atEPbJfkxKWo3JsiM,2016,220,4,1,1,0,1,120000000,montrealCryptXXX
12FFCCn7uYL7DqHkA2hnu9JKabn1k5JVhw,2016,153,28,0.001953125,1,0,2,120000000,montrealCryptXXX
12FNiP2fCjhik9aVZCu3RUghoa41khogeY,2016,206,0,0.5,1,0,1,120000000,montrealCryptXXX
12GXjkBpyYjoiXCgZr4zkLuz81MXMaNshZ,2016,160,44,0.250015259,2,0,4,240000000,montrealCryptXXX
12hv9tuDcBC9LQ1yfPnvPcBH4hJswfPBX9,2016,186,2,0.5,1,0,2,120000000,montrealCryptXXX
12iaHmw7bq3MVfcD1w3YjX1joR59pTGFG4,2016,145,108,2.91E-11,1,0,2,120000000,montrealCryptXXX
12iTSj5roT3pDQQ5roKrfF5Vckfugbdj22,2016,161,144,0.286559081,4890,1280,2,32633234,montrealCryptXXX
12JBrWXjJTepuqrK698BxbH12juUbPE2Gr,2016,155,12,0.002604167,1,0,2,120000000,montrealCryptXXX
12JQ4iNcbEzLHLpfFWxGKF77QnZ4XchFAM,2016,145,32,0.005425347,7,0,2,125000000,montrealCryptXXX
12JybnzJe2CtuqeQUV4S95Gs9LyghvtejW,2016,148,18,0.078776042,6,0,2,120000000,montrealCryptXXX
12JybnzJe2CtuqeQUV4S95Gs9LyghvtejW,2016,151,0,1,1,0,2,120000000,montrealCryptXXX
12K998Z84N9g7S5gHGa7PChfbejU2yQGYm,2016,191,2,0.5,2,0,2,120000000,montrealCryptXXX
12K998Z84N9g7S5gHGa7PChfbejU2yQGYm,2016,160,2,0.5,1,0,2,120000000,montrealCryptXXX
12KDWQuHmJJhkSQcyQYzVPcW86HEMJagfy,2016,138,4,0.5,1,0,2,120000000,montrealCryptXXX
12kpzYLusAqGZJfay4TRs3AQSNeVmLT7nH,2016,174,10,0.5,1,0,2,120000000,montrealCryptXXX
12krSyFLYnQHNgTL1V82Y1bnDbaPSqe9qB,2016,147,14,0.308333333,9,0,2,120000000,montrealCryptXXX
12LkyXXgFgmCUgdqszWVWbZBvS96cpqKka,2016,160,72,0.125000238,2,0,4,240000000,montrealCryptXXX
12NDfRRpn7ddZWxdRQjeQSG2WTb5YmWpKP,2016,182,0,1,1,0,2,120000000,montrealCryptXXX
12NDfRRpn7ddZWxdRQjeQSG2WTb5YmWpKP,2016,186,2,1,1,0,2,240000000,montrealCryptXXX
12ne1Ppi7xSn3LV3dRs3U5Qys9BKCT2jz7,2016,149,144,0.290155391,2846,4,2,71952964,montrealCryptXXX
12NGK6Cz6pG7J7AU9EYZb27fihS2vez3vr,2016,147,144,6.11E-05,1785,0,2,120000000,montrealCryptXXX
12NGK6Cz6pG7J7AU9EYZb27fihS2vez3vr,2016,161,0,0.5,1,0,2,120000000,montrealCryptXXX
12NGK6Cz6pG7J7AU9EYZb27fihS2vez3vr,2016,152,8,0.00078125,1,0,2,240100000,montrealCryptXXX
12NGK6Cz6pG7J7AU9EYZb27fihS2vez3vr,2016,159,16,0.125,1,0,2,120000000,montrealCryptXXX
12NGK6Cz6pG7J7AU9EYZb27fihS2vez3vr,2016,156,14,0.0078125,1,0,2,120000000,montrealCryptXXX
12NmKFRf4C3u6RXviEn4ZCtE6Jm54Mgq2S,2016,162,18,0.00390625,1,0,2,120000000,montrealCryptXXX
12NmKFRf4C3u6RXviEn4ZCtE6Jm54Mgq2S,2016,150,144,0.024107533,5977,0,2,120000000,montrealCryptXXX
12nT8VveQVkoAHBxwsS8JbGx9snaGLUmRa,2016,189,2,0.5,1,0,2,240000000,montrealCryptXXX
12nT8VveQVkoAHBxwsS8JbGx9snaGLUmRa,2016,176,0,1,1,0,2,240000000,montrealCryptXXX
12nT8VveQVkoAHBxwsS8JbGx9snaGLUmRa,2016,173,144,0.038149673,757,0,2,120000000,montrealCryptXXX
12NZktHYyiTmVnDXHnaXrmsQ91UUYfU4gt,2016,177,8,0.125,1,0,2,120000000,montrealCryptXXX
12NZktHYyiTmVnDXHnaXrmsQ91UUYfU4gt,2016,160,18,0.0078125,1,0,2,120000000,montrealCryptXXX
12PZTMvM4iPQHdu2m3FqAVsqibiLptXDSg,2016,134,144,0.069727004,5987,0,2,120000000,montrealCryptXXX
12PZTMvM4iPQHdu2m3FqAVsqibiLptXDSg,2016,155,42,0.000244141,1,0,2,120000000,montrealCryptXXX
12PZTMvM4iPQHdu2m3FqAVsqibiLptXDSg,2016,148,12,0.125,1,0,2,120000000,montrealCryptXXX
12PZTMvM4iPQHdu2m3FqAVsqibiLptXDSg,2016,154,2,0.25,1,0,2,240000000,montrealCryptXXX
12qjVZmRfHPhR7nAKdNqLCygJvSpXvdqa2,2016,237,20,0.004882813,6,0,2,40000000,montrealCryptXXX
12qjVZmRfHPhR7nAKdNqLCygJvSpXvdqa2,2016,193,18,0.04296875,7,0,1,240000000,montrealCryptXXX
12QsjFTZenuDZcHFX2gdDecvvM8GUvrC9h,2016,162,0,0.5,1,0,2,120000000,montrealCryptXXX
12sSXwYZi5UoDzodrovfFYkuEdHbKHwXMv,2016,152,144,0.56182268,4350,0,2,240000000,montrealCryptXXX
12sSXwYZi5UoDzodrovfFYkuEdHbKHwXMv,2016,154,0,0.5,1,0,2,120000000,montrealCryptXXX
12sSXwYZi5UoDzodrovfFYkuEdHbKHwXMv,2016,140,144,0.025826312,1913,0,1,120000000,montrealCryptXXX
12SuDa74pfMzJYs14o28rCpGd1AutqV6x8,2016,141,58,4.77E-07,1,0,2,120000000,montrealCryptXXX
12SzQYJovLDzbbrJZ8NH2BfLdpfMYMzof6,2016,226,144,0.795700668,2826,0,2,120000000,montrealCryptXXX
12SzQYJovLDzbbrJZ8NH2BfLdpfMYMzof6,2016,220,2,1,1,0,2,146856793,montrealCryptXXX
12SzQYJovLDzbbrJZ8NH2BfLdpfMYMzof6,2016,253,2,0.25,1,0,2,120000000,montrealCryptXXX
12SzQYJovLDzbbrJZ8NH2BfLdpfMYMzof6,2016,196,2,0.5,1,0,1,120000000,montrealCryptXXX
12t7huLZbN79J7MsZQ1s5wxULsd5LuxHdW,2016,244,144,0.512745069,1355,0,2,120000000,montrealCryptXXX
12TcXMFSw3X1GcM3XceZgwjMv8Cwb74xL3,2016,203,2,0.025423729,4,0,1,70000000,montrealCryptXXX
12tD2PnCR3cyAuJWCR4ML1eWDbEWe3S4op,2016,133,144,0.000579679,4105,0,2,120000000,montrealCryptXXX
12tTzKEE2xDqqv5V4SgaewjDRwSeLQkvzv,2016,137,58,3.81E-06,1,0,2,120000000,montrealCryptXXX
12tv9EwjRTzgJ86q7rdEcVq4SM2rQaKX1t,2016,159,34,3.05E-05,1,0,2,120000000,montrealCryptXXX
12u2sYp1cLfN9sjxJSwWVFfTTfT77mKQzU,2016,160,66,0.75000003,3,0,6,360000000,montrealCryptXXX
12u2sYp1cLfN9sjxJSwWVFfTTfT77mKQzU,2016,189,0,1,1,0,2,240000000,montrealCryptXXX
12uV4Cpjt7eerfgNvA68FPbfuxzfsNPsnq,2016,134,0,0.5,1,0,2,120000000,montrealCryptXXX
12VKKh9rREzPJkqF8x5HqLAujnc7XUGSrt,2016,177,0,0.5,1,0,2,55851024,montrealCryptXXX
12x7D3YtM7wkzDJdUNm4Ey1QCQY6e8zNsf,2016,251,144,0.13714199,849,0,2,120000000,montrealCryptXXX
12XEDLWeDiy3sWcwmkJZL85iumtsNMKvrK,2016,168,144,0.460465789,1966,0,2,120000000,montrealCryptXXX
12XEDLWeDiy3sWcwmkJZL85iumtsNMKvrK,2016,163,12,0.25,1,0,1,119990000,montrealCryptXXX
12XEDLWeDiy3sWcwmkJZL85iumtsNMKvrK,2016,172,16,3.38E-08,1,0,1,120000000,montrealCryptXXX
12XiFJAQ7gvAGUAKsn5rMubjNQHu4iQ2fo,2016,153,2,0.1,1,0,1,120005000,montrealCryptXXX
12yjyaVtxMBArKPuMMHdZPF4fcb13z2hKa,2016,156,4,0.875,2,1,6,360000000,montrealCryptXXX
12yjyaVtxMBArKPuMMHdZPF4fcb13z2hKa,2016,158,8,0.139547414,24,0,2,119980000,montrealCryptXXX
131Cec5MWRXQ2k26m663XTNkpFJ48Tybdo,2016,161,0,0.5,1,0,2,120000000,montrealCryptXXX
131yABymMcHhCAo5PNo55FjQVxLoPQvcFv,2016,163,4,0.25,1,0,2,120000000,montrealCryptXXX
132ZxukuY2tXcnodPUksvC2npwT8B3ZctJ,2016,176,4,1,1,0,1,240000000,montrealCryptXXX
133WM8s818PFqpXybeKrG2X3ZvXQuLqc5h,2016,239,144,0.002166327,1151,0,1,120000000,montrealCryptXXX
1347Bygw6inXKANxVsfyU4gDuDR1y4GnU5,2016,137,144,0.010353823,1703,0,2,120000000,montrealCryptXXX
1347Bygw6inXKANxVsfyU4gDuDR1y4GnU5,2016,134,144,0.001948402,2346,0,2,120000000,montrealCryptXXX
1347Bygw6inXKANxVsfyU4gDuDR1y4GnU5,2016,141,0,1,1,0,2,120000000,montrealCryptXXX
1347twZ4BZDRGHxErmebHzYAi6oaL4uDB1,2016,168,144,0.008282684,5709,0,2,120000000,montrealCryptXXX
1347twZ4BZDRGHxErmebHzYAi6oaL4uDB1,2016,161,6,0.0625,1,0,2,120000000,montrealCryptXXX
1348XZhvWJ9ijN7gkUA4SYj4Q3MTBUskV6,2016,182,144,0.201361853,4475,0,1,120000000,montrealCryptXXX
1348XZhvWJ9ijN7gkUA4SYj4Q3MTBUskV6,2016,165,0,0.5,1,0,2,120000000,montrealCryptXXX
134e7fnfz6ZjHtLSL2BfSfmrCNmXCT372n,2016,159,144,0.215509438,2619,0,2,120000000,montrealCryptXXX
134e7fnfz6ZjHtLSL2BfSfmrCNmXCT372n,2016,147,64,0.000976563,1,0,2,120000000,montrealCryptXXX
134gyNrUh9LY8U9fxpqVi2rV4EpE2AqeXa,2016,144,0,1,1,0,1,120000000,montrealCryptXXX
1352iVbb5X1nxNGmyU5nTt9sTrSRd2Zgcr,2016,139,14,0.133928571,3,0,2,120000000,montrealCryptXXX
137cci1e56KCNbMsUQvzab6NutuuYZtsoH,2016,160,144,1.540110425,4099,180,2,50940688,montrealCryptXXX
139DYd9tCYM4kyPw8gGv8Kz1cyqdXgia99,2016,153,0,1,1,0,2,129000000,montrealCryptXXX
139DYd9tCYM4kyPw8gGv8Kz1cyqdXgia99,2016,146,144,0.677469744,4875,0,2,113000000,montrealCryptXXX
139FJD8HZhAKYwYNHscSaqgKZpFaYmRnoe,2016,163,12,0.015625,1,0,2,34000000,montrealCryptXXX
13A3KncJBZJpFX1Sby6SZAHG1vHNQ41Haj,2016,238,144,0.014342078,1495,0,1,120000000,montrealCryptXXX
13A3KncJBZJpFX1Sby6SZAHG1vHNQ41Haj,2016,246,144,0.470297292,4541,0,2,120000000,montrealCryptXXX
13A3KncJBZJpFX1Sby6SZAHG1vHNQ41Haj,2016,229,14,0.5,6,0,2,120000000,montrealCryptXXX
13arANjSRBiiWvbUppVtt2zvuE7ouBez4c,2016,173,24,0.715494792,10,1,1,240000000,montrealCryptXXX
13BDhPgWTNeojKLfQTNtMS46d1mEzJ4oUc,2016,168,144,0.017655488,5440,1,2,239990000,montrealCryptXXX
13BJQix9hLGuCd6qDR89LZKDPiCUw6YvgL,2016,159,144,0.9715288,6098,2617,2,70340944,montrealCryptXXX
13C1kU376Qaents4be5EJEmYBtXyZLuGBL,2016,189,40,3.81E-06,1,0,2,119950000,montrealCryptXXX
13cKLKsAk58iCCAVC2pEMDdb5bMd2bQYRC,2016,148,144,0.119678076,2819,0,2,120000000,montrealCryptXXX
13cKLKsAk58iCCAVC2pEMDdb5bMd2bQYRC,2016,155,72,6.10E-05,1,0,2,120000000,montrealCryptXXX
13cSnyw99huy1emKAsL95XLpqKCYZVKTrM,2016,134,144,0.015625,2,0,4,240000000,montrealCryptXXX
13cSnyw99huy1emKAsL95XLpqKCYZVKTrM,2016,133,0,0.5,1,0,2,120990000,montrealCryptXXX
13cYB8qc8BoJFr9fQ8833HdHV4CvvkPMge,2016,230,2,0.5,1,0,2,120000000,montrealCryptXXX
13cYB8qc8BoJFr9fQ8833HdHV4CvvkPMge,2016,195,0,0.5,1,0,2,120000000,montrealCryptXXX
13cYB8qc8BoJFr9fQ8833HdHV4CvvkPMge,2016,254,4,0.045138889,9,0,1,120000000,montrealCryptXXX
13dayjUQuyW55eHrvq2U4dpNnhGCMooKuT,2016,175,4,0.5,1,0,2,120000000,montrealCryptXXX
13DfQ7Q26aK5pzb5kuVAirFZqschxANWUN,2016,139,0,0.5,1,0,2,120000000,montrealCryptXXX
13DfQ7Q26aK5pzb5kuVAirFZqschxANWUN,2016,134,0,0.5,1,0,2,120000000,montrealCryptXXX
13DfQ7Q26aK5pzb5kuVAirFZqschxANWUN,2016,176,50,3.81E-06,1,0,2,120000000,montrealCryptXXX
13DfQ7Q26aK5pzb5kuVAirFZqschxANWUN,2016,146,56,0.0625,1,0,2,120000000,montrealCryptXXX
13DfQ7Q26aK5pzb5kuVAirFZqschxANWUN,2016,141,26,0.001953125,1,0,2,120000000,montrealCryptXXX
13dxNs47KMWx1nQ74tcakXprpdoWnsRodk,2016,155,102,3.81E-06,1,0,2,120000000,montrealCryptXXX
13dxNs47KMWx1nQ74tcakXprpdoWnsRodk,2016,156,16,0.03125,1,0,2,120000000,montrealCryptXXX
13dxNs47KMWx1nQ74tcakXprpdoWnsRodk,2016,159,2,0.25,1,0,2,120000000,montrealCryptXXX
13dxNs47KMWx1nQ74tcakXprpdoWnsRodk,2016,161,100,0.000244141,1,0,2,120000000,montrealCryptXXX
13e9esyNHyDtM9jPnn7GrfCMTxYeFPNGtM,2016,232,144,0.017311331,4148,1199,1,120000000,montrealCryptXXX
13e9esyNHyDtM9jPnn7GrfCMTxYeFPNGtM,2016,224,144,0.052982866,4404,0,1,120000000,montrealCryptXXX
13gg6upXNMoJ4qN4NFUxunT8HuRkt8yPBm,2016,141,14,0.0625,1,0,2,120000000,montrealCryptXXX
13GtVnzFsZAbAANQRjpgGzWN9aWfQ4Wvbt,2016,161,144,1.009239203,2502,0,4,240000000,montrealCryptXXX
13htdtbRMb25voyAWxFRdWeCDByNdnNmng,2016,161,74,0.250000002,2,0,4,240000000,montrealCryptXXX
13htdtbRMb25voyAWxFRdWeCDByNdnNmng,2016,156,0,1,1,0,2,120000000,montrealCryptXXX
13htdtbRMb25voyAWxFRdWeCDByNdnNmng,2016,159,144,0.283714907,6084,1,4,240000000,montrealCryptXXX
13htdtbRMb25voyAWxFRdWeCDByNdnNmng,2016,155,0,1,1,0,2,120000000,montrealCryptXXX
13i4TP1afkV3TkerkDPg1ngXF9Fqq4Zub7,2016,142,144,0.084490741,896,0,2,120000000,montrealCryptXXX
13i4TP1afkV3TkerkDPg1ngXF9Fqq4Zub7,2016,176,0,1,1,0,2,240000000,montrealCryptXXX
13iiJusex4Dr3x9HcZZnSUGepJukGbwYzk,2016,166,10,0.020833333,1,0,2,120000000,montrealCryptXXX
13ir4jJJ3TGjWzUfR5APJxY2CLrE1PpUsk,2016,139,94,1.46E-11,1,0,2,120000000,montrealCryptXXX
13ir4jJJ3TGjWzUfR5APJxY2CLrE1PpUsk,2016,159,36,0.06262207,6,0,2,120021900,montrealCryptXXX
13ir4jJJ3TGjWzUfR5APJxY2CLrE1PpUsk,2016,158,4,0.503968254,2,0,4,240500000,montrealCryptXXX
13ir4jJJ3TGjWzUfR5APJxY2CLrE1PpUsk,2016,136,0,1,1,0,2,120000000,montrealCryptXXX
13j14sJwoZNAsz7fXRZbBDEsrVmo3jRDRS,2016,161,0,0.5,1,0,2,120000000,montrealCryptXXX
13j14sJwoZNAsz7fXRZbBDEsrVmo3jRDRS,2016,190,0,1,1,0,2,120000000,montrealCryptXXX
13j14sJwoZNAsz7fXRZbBDEsrVmo3jRDRS,2016,160,0,0.5,1,0,2,120000000,montrealCryptXXX
13jLYy1F8y1WQdzDPrEpqTSLBkfUXPkv4A,2016,188,0,1,1,0,2,240000000,montrealCryptXXX
13JQ7C9EYc3Z6WCQEqfJHyjNi66pFEj3BP,2016,218,0,0.5,1,0,2,120000000,montrealCryptXXX
13JQ7C9EYc3Z6WCQEqfJHyjNi66pFEj3BP,2016,196,0,0.5,1,0,1,70000000,montrealCryptXXX
13K8ZLWj2YjvEXUMpa3eg8Zx1HosXUgFuN,2016,200,14,0.0625,1,0,1,70000000,montrealCryptXXX
13K8ZLWj2YjvEXUMpa3eg8Zx1HosXUgFuN,2016,251,0,0.5,1,0,2,120000000,montrealCryptXXX
13khW5aQogbhvtkB2RGapMXDM2HDCnhNMw,2016,187,144,3.82E-05,3805,0,2,70000000,montrealCryptXXX
13LgDWmLB58SRYqUtfKeETjweP44URop5T,2016,134,28,0.000488281,1,0,2,120000000,montrealCryptXXX
13LRUC5R5oTiefFAUTRyvfYWsosuPdCvGz,2016,139,78,0.000976563,1,0,2,120000000,montrealCryptXXX
13m1dmNpP8ZPnSqz1jz4xtnmhvoaSMocdG,2016,161,0,1,1,0,1,120000000,montrealCryptXXX
13m1dmNpP8ZPnSqz1jz4xtnmhvoaSMocdG,2016,165,144,0.194402779,6004,0,2,120000000,montrealCryptXXX
13m2SRrhGhoaYf9w6LHQaHnEY3B2WAmVE1,2016,151,36,5.33E-09,5,0,2,120000000,montrealCryptXXX
13mQCwci3zKhxPkC9WZGmsJfodb4kGuGNZ,2016,149,144,0.000232658,3188,0,2,240000000,montrealCryptXXX
13mQCwci3zKhxPkC9WZGmsJfodb4kGuGNZ,2016,158,74,0.019205759,12,0,2,120000000,montrealCryptXXX
13mQCwci3zKhxPkC9WZGmsJfodb4kGuGNZ,2016,147,144,0.003012499,2194,0,2,120000000,montrealCryptXXX
13mQCwci3zKhxPkC9WZGmsJfodb4kGuGNZ,2016,154,144,0.002970939,3563,0,2,100000000,montrealCryptXXX
13mQCwci3zKhxPkC9WZGmsJfodb4kGuGNZ,2016,145,6,0.083333333,1,0,1,120000000,montrealCryptXXX
13Muytn55aUfwiYodDR7qRsPxcBki5uHZb,2016,159,144,0.660153421,6032,5,2,30795402,montrealCryptXXX
13mvQcz3Yt4UH6sMEQchAq6xRDBSLBj3st,2016,187,2,3,4,0,2,120000000,montrealCryptXXX
13ookHAGyh8mGp85XZfEgGG7ghQErn1NGu,2016,234,0,1,1,0,2,120000000,montrealCryptXXX
13pXnZhL6y6Tv6umVxTUPj6PSk8jeo3WFr,2016,141,144,0.012329298,3696,0,2,120000000,montrealCryptXXX
13pyn5hbMaiWMMMftWvpwQuTKuwJBbk6Ps,2016,141,144,0.633142983,4739,0,2,120000000,montrealCryptXXX
13pyn5hbMaiWMMMftWvpwQuTKuwJBbk6Ps,2016,140,6,0.0625,1,0,2,120000000,montrealCryptXXX
13pyn5hbMaiWMMMftWvpwQuTKuwJBbk6Ps,2016,149,144,0.003368237,3118,0,2,120000000,montrealCryptXXX
13pyn5hbMaiWMMMftWvpwQuTKuwJBbk6Ps,2016,142,0,0.5,1,0,2,120000000,montrealCryptXXX
13qctWH9itJXrx9rnCrxA8ko76uJ4o2eE5,2016,208,144,0.55351283,4753,1,2,120000000,montrealCryptXXX
13qctWH9itJXrx9rnCrxA8ko76uJ4o2eE5,2016,235,144,0.007349598,1375,0,2,120000000,montrealCryptXXX
13qjTVifWfFGFH7wQiCvb2SdufUq53u6ff,2016,174,4,0.05,1,0,2,119987570,montrealCryptXXX
13qvnhFCysovwiqnyVPbc2qhjKk9tEvNHg,2016,146,144,0.992847072,5470,1732,2,89941172,montrealCryptXXX
13RDNCuH5HFpDGvbS7HMbaKvJTS3xWKDp5,2016,207,10,0.125,1,0,2,120000000,montrealCryptXXX
13RHFPb3nowJwVfNVjUVP1MknXkG8XYCJo,2016,146,12,0.53125,2,0,4,240000000,montrealCryptXXX
13s3Sxbq6DVStnWSV3b6ZWXe8akA2WdCMb,2016,161,0,0.25,1,0,2,120000000,montrealCryptXXX
13sBQvDydfbYafuvVaBo1JjGDBx4hGpMLX,2016,160,30,0.000488281,1,0,2,120000000,montrealCryptXXX
13sn4zDiq43gkBU1W7JZBSM49WMgJ6mnYM,2016,186,144,0.083217593,662,0,1,120000000,montrealCryptXXX
13TGaVwhuKXPcNtbRCvS2yNfav8SPRKJ4Y,2016,148,86,0.563477043,5,0,2,39942906,montrealCryptXXX
13tTRgfhzig1E7GeNwLND7gaj1v9vzqJ3z,2016,140,14,0.015625,1,0,2,120000000,montrealCryptXXX
13TUKEtWyksMSUgwAvcX2YezWd4puJaaWF,2016,135,4,0.5,1,0,1,110804722,montrealCryptXXX
13tZXXygnoq9R2jiVHh5XSUYnpCwrf45DV,2016,175,0,1,1,0,2,120000000,montrealCryptXXX
13UaGo7MtbRA155zzkLzGnA5tmdN6vED3q,2016,163,8,0.003472222,1,0,2,120000000,montrealCryptXXX
13UVP9FLyrKN9App2sx5mEzgjGh3wJcKub,2016,137,0,1,1,0,2,120000000,montrealCryptXXX
13UVP9FLyrKN9App2sx5mEzgjGh3wJcKub,2016,144,16,0.03125,1,0,2,120000000,montrealCryptXXX
13UVP9FLyrKN9App2sx5mEzgjGh3wJcKub,2016,147,0,0.5,1,0,2,120000000,montrealCryptXXX
13UVP9FLyrKN9App2sx5mEzgjGh3wJcKub,2016,145,58,0.500000238,6,0,2,120000000,montrealCryptXXX
13VcD3TBWAnBEnzCNK9wBM3nkEMkmRgUg2,2016,141,52,0.03125,1,0,2,120000000,montrealCryptXXX
13VcD3TBWAnBEnzCNK9wBM3nkEMkmRgUg2,2016,146,2,1,1,0,2,240000000,montrealCryptXXX
13VjoN4ucWGyqWpSSqjzDWedACWWnvyGvG,2016,139,28,0.062988281,2,2,2,120000000,montrealCryptXXX
